Date,Open,High,Low,Close,Volume
2025-01-02,150.25,152.00,149.50,151.00,1200000
2025-01-03,151.00,153.25,150.75,152.75,1350000
2025-01-06,152.75,154.00,152.00,153.50,1100000
2025-01-07,153.50,155.00,153.00,154.25,1400000
2025-01-08,154.25,156.00,154.00,155.75,1300000
2025-01-09,155.75,157.50,155.50,156.25,1250000
2025-01-10,156.25,158.00,156.00,157.75,1450000
2025-01-13,157.75,159.00,157.50,158.25,1500000
2025-01-14,158.25,160.00,158.00,159.50,1600000
2025-01-15,159.50,161.25,159.00,160.75,1550000
2025-01-16,160.75,162.00,160.50,161.50,1650000
2025-01-17,161.50,163.00,161.25,162.75,1700000
2025-01-20,162.75,164.00,162.50,163.50,1750000
2025-01-21,163.50,165.25,163.00,164.75,1800000
2025-01-22,164.75,166.00,164.50,165.25,1850000
2025-01-23,165.25,167.00,165.00,166.50,1900000
2025-01-24,166.50,168.25,166.25,167.75,1950000
2025-01-27,167.75,169.00,167.50,168.25,2000000
2025-01-28,168.25,170.00,168.00,169.50,2050000
2025-01-29,169.50,171.00,169.25,170.75,2100000
2025-01-30,170.75,172.00,170.50,171.50,2150000
2025-01-31,171.50,173.25,171.25,172.75,2200000
